Trainingstyp;Datum;Disziplin;Schuss;Waffe;Visier;Entf;Anschlag;Resultat;Zeit;10.0;10.5.;10a0;10a5;L;L/250;Abstand;Kommentar
SCATT;07.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;8,5;69,0;27,0;95,0;53,0;127,0;117,0;17,0;
SCATT;07.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,5;59,0;25,0;63,0;25,0;369,0;250,0;57,0;
SCATT;08.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;10,1;66,0;22,0;93,0;52,0;134,0;128,0;18,0;
SCATT;08.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,4;45,0;11,0;80,0;32,0;351,0;312,0;45,0;
SCATT;08.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,4;65,0;23,0;98,0;57,0;128,0;120,0;15,0;
SCATT;09.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;10,1;8,4;65,0;27,0;97,0;53,0;138,0;137,0;19,0;Neue Grifftechnik
SCATT;09.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,9;66,0;25,0;92,0;55,0;138,0;134,0;16,0;
SCATT;09.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,9;8,7;66,0;20,0;91,0;48,0;143,0;155,0;19,0;Neue Grifftechnik
SCATT;09.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,1;2,6;69,0;32,0;81,0;47,0;354,0;278,0;63,0;
SCATT;10.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,7;8,3;51,0;19,0;84,0;35,0;156,0;139,0;24,0;Neue Grifftechnik
SCATT;10.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;8,2;61,0;20,0;90,0;42,0;148,0;152,0;22,0;Neue Grifftechnik
SCATT;10.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,1;2,5;55,0;24,0;66,0;29,0;437,0;316,0;43,0;
SCATT;10.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,6;64,0;25,0;75,0;37,0;438,0;360,0;48,0;Neue Grifftechnik
SCATT;10.03.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,6;64,0;24,0;74,0;30,0;399,0;352,0;38,0;Neue Grifftechnik
SCATT;11.03.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;8,8;65,0;29,0;89,0;52,0;127,0;120,0;21,0;Neue Grifftechnik
SCATT;14.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,8;2,7;42,0;13,0;71,0;26,0;486,0;466,0;51,0;letzte 0.3 Sekunden starker Anstieg. Shit
SCATT;14.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,8;60,0;22,0;80,0;38,0;427,0;400,0;40,0;f-koef ab sofort immer 25!
SCATT;14.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,8;66,0;21,0;86,0;43,0;422,0;419,0;38,0;
SCATT;14.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,4;3,2;66,0;23,0;83,0;45,0;392,0;366,0;38,0;Ausatmen beim Hochgehen. Aber zu langsam geschossen.
SCATT;16.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,3;7,1;38,0;10,0;80,0;35,0;259,0;262,0;24,0;
SCATT;16.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,4;32,0;9,0;90,0;48,0;243,0;241,0;19,0;
SCATT;17.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,7;36,0;9,0;87,0;40,0;278,0;288,0;20,0;
SCATT;17.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,6;8,8;34,0;8,0;87,0;44,0;279,0;287,0;17,0;f-koef ab sofort immer 25!
SCATT;17.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,8;6,3;39,0;9,0;71,0;24,0;358,0;361,0;25,0;
SCATT;18.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,7;48,0;13,0;87,0;43,0;261,0;272,0;20,0;
SCATT;18.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,0;2,9;40,0;11,0;76,0;34,0;404,0;381,0;52,0;Ausatmen beim Hochgehen. Aber zu langsam geschossen.
SCATT;21.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,9;50,0;13,0;85,0;37,0;436,0;431,0;42,0;
SCATT;21.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,1;8,6;57,0;20,0;92,0;54,0;232,0;237,0;17,0;richtige Atmung ist der Schlüssel
SCATT;21.03.2018;Präzision;30;Xesse;Offen;25;Stehend, links;9,1;6,3;26,0;5,0;56,0;18,0;416,0;427,0;33,0;
SCATT;21.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,8;6,4;41,0;11,0;69,0;26,0;336,0;342,0;27,0;
SCATT;22.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,0;8,1;61,0;21,0;93,0;50,0;243,0;255,0;17,0;
SCATT;22.03.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,8;5,5;15,0;4,0;59,0;21,0;380,0;379,0;26,0;
SCATT;22.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,6;8,8;31,0;7,0;68,0;22,0;349,0;351,0;26,0;
SCATT;23.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;7,4;62,0;18,0;90,0;49,0;261,0;262,0;18,0;
SCATT;23.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,7;52,0;17,0;79,0;31,0;459,0;471,0;52,0;
SCATT;23.03.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,7;49,0;13,0;82,0;40,0;480,0;507,0;47,0;
SCATT;23.03.2018;Präzision;30;Xesse;Offen;25;Stehend, links;9,0;5,9;18,0;5,0;43,0;12,0;456,0;450,0;36,0;
SCATT;23.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,2;7,1;23,0;6,0;70,0;25,0;343,0;354,0;26,0;
SCATT;24.03.2018;Präzision;30;Xesse;Offen;25;Stehend, links;9,0;5,2;15,0;4,0;29,0;6,0;513,0;525,0;36,0;
SCATT;24.03.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,3;5,8;35,0;9,0;65,0;24,0;376,0;389,0;31,0;
SCATT;01.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;10,2;7,4;63,0;24,0;85,0;44,0;151,0;153,0;20,0;
SCATT;01.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;7,9;75,0;32,0;90,0;47,0;137,0;134,0;18,0;
SCATT;01.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;9,2;66,0;23,0;91,0;46,0;151,0;153,0;18,0;ab sofort Ruger mit verdeckter Scheibe
SCATT;01.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,8;37,0;10,0;58,0;19,0;428,0;335,0;62,0;ab sofort Ruger mit verdeckter Scheibe
SCATT;01.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,8;35,0;9,0;72,0;31,0;358,0;287,0;60,0;
SCATT;01.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,8;54,0;17,0;77,0;30,0;344,0;333,0;49,0;
SCATT;01.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,7;55,0;16,0;63,0;24,0;401,0;320,0;53,0;die gelöschten Schüsse werden allmählich ziemlich viel!
SCATT;02.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;8,5;65,0;22,0;87,0;44,0;140,0;140,0;19,0;zügig ohne zu zögern durchziehen. 
SCATT;05.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,8;8,9;53,0;17,0;86,0;46,0;133,0;130,0;24,0;
SCATT;05.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;8,2;72,0;25,0;96,0;55,0;123,0;124,0;17,0;
SCATT;05.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;7,8;65,0;30,0;97,0;65,0;118,0;125,0;12,0;
SCATT;05.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,2;79,0;28,0;96,0;63,0;113,0;108,0;17,0;
SCATT;06.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,3;12,2;74,0;24,0;97,0;60,0;111,0;103,0;15,0;
SCATT;07.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;9,6;60,0;19,0;96,0;62,0;121,0;115,0;16,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,7;61,0;25,0;70,0;26,0;390,0;310,0;49,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,7;73,0;30,0;82,0;36,0;324,0;271,0;35,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,7;71,0;29,0;77,0;33,0;339,0;273,0;40,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,8;69,0;25,0;73,0;31,0;338,0;257,0;36,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,8;73,0;31,0;84,0;35,0;304,0;246,0;37,0;
SCATT;07.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,2;2,8;54,0;18,0;64,0;23,0;372,0;322,0;57,0;zu späte Schüsse nicht mehr löschen!
SCATT;08.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;8,7;63,0;23,0;95,0;53,0;128,0;123,0;16,0;
SCATT;08.04.2018;Präzision;20;Ruger;RedDot;25;Kniend, Rechts;9,9;7,3;53,0;17,0;91,0;57,0;134,0;128,0;19,0;War extrem schwer zu halten. Fuck
SCATT;08.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;10,0;8,4;53,0;16,0;87,0;42,0;153,0;153,0;21,0;
SCATT;08.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,9;8,6;58,0;19,0;93,0;58,0;126,0;120,0;15,0;
SCATT;11.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,7;2,7;65,0;20,0;80,0;30,0;358,0;257,0;37,0;zu langsame Schüsse nicht mehr löschen! Speed wird jetzt wichtig!
SCATT;11.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,6;2,6;66,0;29,0;77,0;35,0;341,0;251,0;35,0;
SCATT;11.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,7;69,0;29,0;77,0;33,0;325,0;247,0;38,0;
SCATT;11.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,0;2,7;66,0;21,0;79,0;35,0;325,0;274,0;40,0;
SCATT;12.04.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,6;43,0;11,0;72,0;25,0;362,0;288,0;52,0;
SCATT;12.04.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,3;10,7;72,0;24,0;93,0;56,0;124,0;134,0;15,0;
SCATT;13.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,9;2,7;40,0;12,0;76,0;39,0;458,0;423,0;29,0;
SCATT;13.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,8;2,8;58,0;22,0;85,0;38,0;453,0;457,0;42,0;
SCATT;13.04.2018;Präzision;15;Xesse;Offen;25;Stehend, Beide;9,7;7,4;55,0;17,0;87,0;42,0;229,0;234,0;25,0;
SCATT;14.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,2;6,1;23,0;5,0;62,0;20,0;418,0;424,0;36,0;
SCATT;14.04.2018;Präzision;15;Xesse;Offen;25;Stehend, links;8,7;5,2;25,0;6,0;37,0;12,0;492,0;648,0;46,0;
SCATT;14.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,7;54,0;16,0;73,0;32,0;563,0;565,0;46,0;
SCATT;14.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,1;2,7;65,0;24,0;83,0;37,0;505,0;495,0;41,0;
SCATT;14.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,0;2,8;55,0;19,0;78,0;32,0;500,0;493,0;41,0;
SCATT;14.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,0;2,8;40,0;13,0;75,0;34,0;533,0;545,0;46,0;
SCATT;15.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,1;7,7;67,0;21,0;90,0;46,0;274,0;286,0;18,0;
SCATT;16.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,2;7,5;52,0;15,0;88,0;40,0;288,0;271,0;15,0;
SCATT;16.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,2;2,7;51,0;16,0;78,0;35,0;480,0;486,0;47,0;
SCATT;18.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;10,2;6,5;65,0;22,0;89,0;43,0;273,0;281,0;16,0;
SCATT;18.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, Rechts;9,5;6,0;31,0;8,0;63,0;21,0;398,0;415,0;29,0;
SCATT;19.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, links;9,3;6,4;26,0;6,0;40,0;12,0;453,0;433,0;41,0;
SCATT;19.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, Rechts;9,6;7,3;43,0;13,0;74,0;29,0;315,0;326,0;26,0;
SCATT;19.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;10,3;8,5;74,0;31,0;90,0;46,0;255,0;238,0;15,0;
SCATT;20.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;9,5;2,7;70,0;27,0;82,0;39,0;429,0;445,0;48,0;
SCATT;20.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,6;68,0;26,0;83,0;39,0;450,0;418,0;32,0;
SCATT;20.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,7;64,0;22,0;80,0;34,0;503,0;479,0;35,0;
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,5;59,0;24,0;63,0;25,0;544,0;508,0;51,0;
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,1;2,6;54,0;18,0;56,0;21,0;533,0;499,0;58,0;
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;9,4;2,6;45,0;12,0;56,0;24,0;552,0;496,0;52,0;oh oh
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,7;59,0;22,0;74,0;32,0;494,0;452,0;38,0;
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,6;67,0;29,0;77,0;35,0;459,0;465,0;44,0;
SCATT;21.04.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,7;55,0;19,0;75,0;30,0;452,0;444,0;50,0;
SCATT;21.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, links;9,1;7,8;18,0;4,0;47,0;15,0;394,0;406,0;34,0;
SCATT;21.04.2018;Präzision;30;Xesse;RedDot;25;Stehend, Rechts;9,8;8,2;34,0;10,0;71,0;26,0;342,0;327,0;23,0;
SCATT;21.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,3;47,0;15,0;89,0;44,0;265,0;278,0;19,0;
SCATT;22.04.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,8;6,8;21,0;5,0;44,0;13,0;438,0;417,0;43,0;
SCATT;22.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,6;6,9;31,0;8,0;72,0;26,0;342,0;339,0;23,0;
SCATT;22.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,8;7,6;56,0;19,0;90,0;47,0;270,0;265,0;19,0;
SCATT;23.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,3;43,0;12,0;92,0;48,0;253,0;258,0;18,0;
LIVE;23.04.2018;Präzision;18;Xesse;Offen;25;Stehend, Beide;9,6;;;;;;;;;
LIVE;24.04.2018;Präzision;27;Xesse;Offen;25;Stehend, Beide;9,6;;;;;;;;;
LIVE;24.04.2018;Präzision;21;Xesse;Offen;25;Stehend, Beide;9,9;;;;;;;;;
LIVE;24.04.2018;Präzision;20;Xesse;Offen;25;Stehend, Beide;9,7;;;;;;;;;
SCATT;25.04.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,9;5,7;28,0;4,0;56,0;18,0;380,0;369,0;37,0;
SCATT;25.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,7;5,9;47,0;13,0;76,0;33,0;303,0;304,0;24,0;
SCATT;25.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,8;7,3;44,0;13,0;90,0;46,0;257,0;250,0;15,0;
SCATT;25.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,7;53,0;18,0;73,0;30,0;478,0;468,0;50,0;
SCATT;26.04.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,7;7,8;24,0;7,0;53,0;17,0;395,0;396,0;37,0;
SCATT;26.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,7;9,8;39,0;10,0;68,0;25,0;350,0;378,0;25,0;
SCATT;26.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;6,1;53,0;16,0;87,0;42,0;273,0;288,0;20,0;
SCATT;27.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,8;7,8;55,0;16,0;86,0;43,0;271,0;273,0;19,0;
SCATT;27.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;8,4;56,0;17,0;95,0;57,0;248,0;256,0;20,0;
SCATT;27.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,7;2,8;49,0;17,0;84,0;44,0;403,0;427,0;42,0;
SCATT;27.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,0;2,6;55,0;18,0;72,0;31,0;461,0;453,0;54,0;
SCATT;27.04.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,8;59,0;19,0;75,0;38,0;445,0;468,0;47,0;
SCATT;28.04.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;6,2;46,0;11,0;92,0;46,0;273,0;263,0;18,0;
SCATT;29.04.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;10,1;7,0;60,0;20,0;82,0;38,0;150,0;130,0;20,0;
LIVE;30.04.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,9;;;;;;;;;
LIVE;30.04.2018;Präzision;30;Ruger;Offen;25;Sitzend, Rechts;10,3;;;;;;;;;
LIVE;30.04.2018;Präzision;30;Ruger;Offen;25;Kniend, Rechts;10,4;;;;;;;;;
LIVE;30.04.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;10,4;;;;;;;;;
SCATT;03.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,9;8,1;57,0;14,0;86,0;40,0;139,0;130,0;24,0;
SCATT;03.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,6;9,3;30,0;8,0;86,0;40,0;155,0;158,0;23,0;
SCATT;03.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;7,7;62,0;21,0;93,0;54,0;126,0;133,0;19,0;Schnell und zügig durchziehen. Mit dem Ausatmen abziehen.
SCATT;04.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;8,1;53,0;18,0;90,0;45,0;138,0;145,0;22,0;
SCATT;04.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;8,9;61,0;23,0;86,0;40,0;137,0;138,0;22,4;
SCATT;04.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;10,8;67,0;25,0;94,0;55,0;122,0;126,0;17,0;
SCATT;04.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,6;63,0;24,0;70,0;29,0;433,0;348,0;48,0;
SCATT;04.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,6;62,0;23,0;66,0;25,0;416,0;326,0;46,0;
SCATT;05.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,7;7,3;53,0;18,0;77,0;30,0;175,0;171,0;23,0;
SCATT;05.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,0;9,6;73,0;30,0;92,0;57,0;127,0;129,0;20,0;
SCATT;05.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,6;63,0;23,0;69,0;23,0;446,0;381,0;41,0;
SCATT;05.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,7;75,0;34,0;82,0;37,0;367,0;319,0;38,0;
SCATT;05.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,8;76,0;33,0;79,0;35,0;375,0;337,0;37,0;
SCATT;06.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,1;2,7;60,0;13,0;73,0;32,0;406,0;388,0;42,0;
SCATT;06.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,1;2,7;72,0;31,0;79,0;32,0;364,0;332,0;41,0;
SCATT;06.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,8;75,0;29,0;83,0;34,0;358,0;338,0;36,0;
SCATT;06.05.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,4;2,8;75,0;30,0;83,0;36,0;357,0;310,0;38,0;
LIVE;07.05.2018;Speed;20;Ruger;RedDot;25;Stehend, Rechts;10,4;;;;;;;;;
LIVE;07.05.2018;Präzision;60;Ruger;RedDot;25;Stehend, links;10,1;;;;;;;;;
LIVE;07.05.2018;Präzision;60;Ruger;RedDot;25;Stehend, Rechts;10,2;;;;;;;;;
SCATT;08.05.2018;Speed;20;Xesse;Offen;25;Stehend, Beide;10,2;2,9;;;86,0;43,0;504,0;535,0;45,0;
SCATT;08.05.2018;Speed;20;Xesse;Offen;25;Stehend, Beide;10,1;2,9;51,0;14,0;83,0;37,0;482,0;487,0;40,0;
SCATT;08.05.2018;Speed;20;Xesse;Offen;25;Stehend, Beide;10,2;3,0;69,0;24,0;85,0;39,0;485,0;528,0;40,0;
SCATT;09.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,5;7,1;38,0;8,0;82,0;36,0;270,0;278,0;21,0;
SCATT;09.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,6;9,3;41,0;11,0;76,0;29,0;337,0;334,0;27,0;
SCATT;09.05.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,3;6,8;14,0;4,0;51,0;14,0;409,0;420,0;38,0;
SCATT;09.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;10,0;7,6;50,0;17,0;88,0;45,0;261,0;271,0;21,0;
SCATT;11.05.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,5;7,9;12,0;2,0;48,0;14,0;400,0;366,0;37,0;
SCATT;11.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,4;7,3;38,0;11,0;73,0;30,0;333,0;325,0;29,0;
SCATT;11.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,3;2,9;59,0;20,0;80,0;33,0;500,0;496,0;41,0;
SCATT;11.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,1;2,8;58,0;22,0;73,0;32,0;533,0;527,0;52,0;
SCATT;11.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,2;2,8;64,0;21,0;84,0;36,0;477,0;508,0;34,0;
SCATT;12.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;7,2;34,0;11,0;84,0;37,0;255,0;272,0;20,0;
SCATT;12.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;7,2;15,0;3,0;91,0;44,0;236,0;254,0;17,0;Resultat nach Korrektur der Trefferlage
SCATT;12.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,1;2,8;49,0;18,0;82,0;39,0;462,0;421,0;42,0;
SCATT;12.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,4;5,9;21,0;4,0;76,0;32,0;326,0;322,0;22,0;
LIVE;14.05.2018;Speed;40;Ruger;RedDot;25;Stehend, Rechts;10,3;;;;;;;;;
LIVE;14.05.2018;Speed;40;Ruger;RedDot;25;Stehend, Rechts;10,4;;;;;;;;;
LIVE;14.05.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,1;;;;;;;;;
LIVE;14.05.2018;Präzision;20;Ruger;RedDot;25;Stehend, Rechts;10,2;;;;;;;;;
SCATT;16.05.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,6;7,2;31,0;8,0;66,0;26,0;364,0;380,0;34,0;
SCATT;17.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,8;2,7;46,0;14,0;71,0;28,0;568,0;560,0;45,0;
SCATT;17.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;10,0;2,8;40,0;12,0;84,0;38,0;522,0;531,0;46,0;
SCATT;17.05.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,8;2,8;52,0;16,0;88,0;45,0;483,0;535,0;46,0;
LIVE;22.05.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,4;;;;;;;;;
LIVE;22.05.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;10,0;;;;;;;;;
LIVE;24.05.2018;Präzision;10;Xesse;RedDot;25;Stehend, Beide;10,2;;;;;;;;;
LIVE;24.05.2018;Präzision;20;Xesse;RedDot;25;Stehend, Beide;10,2;;;;;;;;;
LIVE;24.05.2018;Präzision;10;Xesse;RedDot;25;Stehend, Beide;10,4;;;;;;;;;
LIVE;24.05.2018;Speed;20;Xesse;RedDot;25;Stehend, Beide;10,6;;;;;;;;;
LIVE;24.05.2018;Speed;10;Xesse;RedDot;25;Stehend, Beide;10,7;;;;;;;;;
SCATT;24.05.2018;Präzision;10;Xesse;RedDot;25;Stehend, Beide;9,8;5,8;43,0;10,0;87,0;44,0;268,0;265,0;16,0;
SCATT;24.05.2018;Speed;10;Xesse;RedDot;25;Stehend, Beide;10,1;2,8;53,0;15,0;73,0;30,0;531,0;507,0;44,0;
LIVE;27.05.2018;Präzision;20;Xesse;Offen;25;Stehend, Beide;10,0;;;;;;;;;LM Bocholt
LIVE;27.05.2018;Speed;20;Xesse;Offen;25;Stehend, Beide;10,0;;;;;;;;;LM Bocholt
LIVE;27.05.2018;Präzision;20;Xesse;RedDot;25;Stehend, Beide;9,8;;;;;;;;;LM Bocholt
LIVE;27.05.2018;Präzision;20;Xesse;RedDot;25;Stehend, Beide;9,9;;;;;;;;;LM Bocholt
LIVE;27.05.2018;Speed;20;Xesse;RedDot;25;Stehend, Beide;10,3;;;;;;;;;LM Bocholt
LIVE;27.05.2018;Präzision;20;Xesse;Offen;25;Stehend, Beide;9,8;;;;;;;;;LM Bocholt
SCATT;06.06.2018;Speed;30;PPQ;Offen;25;Stehend, Beide;9,9;2,7;;;70,0;33,0;474,0;402,0;50,0;Präzision angepasst wg. Fehler in SCATT
