Trainingstyp;Datum;Disziplin;Schuss;Waffe;Visier;Entf;Anschlag;Resultat;Zeit;10.0;10.5.;10a0;10a5;L;L/250;Abstand;Kommentar
SCATT;26.12.2017;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,3;6,6;24,0;12,0;58,0;29,0;353,0;363,0;;
SCATT;30.12.2017;Präzision;30;Ruger;RedDot;25;Kniend, Rechts;10,3;7,4;83,0;41,5;93,0;46,5;130,0;121,0;;
SCATT;30.12.2017;Präzision;30;Ruger;RedDot;25;Kniend, Rechts;10,0;6,8;60,0;30,0;88,0;44,0;140,0;142,5;;
SCATT;30.12.2017;Präzision;30;Ruger;RedDot;25;Stehend, links;9,6;5,4;41,0;20,5;72,0;36,0;174,0;157,0;;
SCATT;30.12.2017;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,1;2,4;38,0;19,0;51,0;25,5;576,0;421,0;;
SCATT;30.12.2017;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,5;2,5;46,0;23,0;49,0;24,5;527,0;334,0;;Waffe eingeschossen
SCATT;30.12.2017;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,8;2,6;55,0;27,5;64,0;32,0;409,0;310,0;;
SCATT;01.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,5;5,2;48,0;24,0;70,0;35,0;156,0;152,0;;
SCATT;01.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, links;9,8;4,0;44,0;22,0;74,0;37,0;161,0;159,0;;
SCATT;01.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,9;6,1;56,0;28,0;83,0;41,5;159,0;156,0;;
SCATT;01.01.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,9;2,5;46,0;23,0;47,0;23,5;500,0;367,0;;
SCATT;06.01.2018;Präzision;30;Xesse;Offen;25;Kniend, Beidhändig;8,9;3,8;16,0;8,0;42,0;21,0;395,0;390,0;;Beide Knie ist möglicherweise am stabilsten
SCATT;06.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,0;4,9;17,0;8,5;74,0;37,0;271,0;258,0;;
SCATT;06.01.2018;Präzision;25;Xesse;Offen;25;Stehend, links;8,5;4,8;15,0;7,5;33,0;16,5;427,0;464,0;;Anschlag 45° 
SCATT;06.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,2;3,8;19,0;9,5;45,0;22,5;428,0;401,0;;Anschlag 45° 
SCATT;07.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,0;6,6;17,0;8,5;73,0;36,5;300,0;320,0;;Fokus auf Korn! und Konzentration auf Ruhe. Ausrichtung SCATT n nich t  nach Treffern  , sonder Zielweg.
SCATT;07.01.2018;Speed;28;Xesse;Offen;25;Stehend, Beide;9,9;2,6;34,0;17,0;57,0;28,5;626,0;568,0;;
SCATT;07.01.2018;Speed;28;Xesse;Offen;25;Stehend, Beide;9,7;2,6;53,0;26,5;64,0;32,0;602,0;512,0;;
SCATT;07.01.2018;Steel Challenge;30;Xesse;Offen;25;Stehend, Beide;8,8;1,5;5,0;2,5;12,0;6,0;1128,0;1054,0;;versucht extrem schnell zu schießen
SCATT;07.01.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,5;4,4;9,0;4,5;27,0;13,5;561,0;515,0;;Anschlag 45° 
SCATT;07.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,5;5,0;22,0;11,0;46,0;23,0;385,0;407,0;;Anschlag 45° 
SCATT;07.01.2018;Speed;30;Xesse;Offen;25;Stehend, Rechts;9,2;2,4;22,0;11,0;32,0;16,0;869,0;761,0;;
SCATT;11.01.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,6;2,0;37,0;18,5;47,0;23,5;601,0;483,0;;
SCATT;11.01.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,8;2,6;45,0;22,5;64,0;32,0;555,0;489,0;;
SCATT;11.01.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,2;4,8;14,0;7,0;26,0;13,0;529,0;570,0;;Anschlag 45° 
SCATT;11.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;9,5;6,9;26,0;13,0;56,0;28,0;350,0;365,0;;Anschlag 45° 
SCATT;14.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,7;6,8;50,0;25,0;78,0;39,0;270,0;275,0;;wow
SCATT;14.01.2018;Speed;30;Xesse;Offen;25;Stehend, Beide;9,9;2,7;53,0;26,5;63,0;31,5;517,0;465,0;;
SCATT;14.01.2018;Präzision;30;Xesse;Offen;25;Stehend, links;8,3;6,0;8,0;4,0;37,0;18,5;417,0;414,0;;
SCATT;14.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Rechts;8,9;5,7;22,0;11,0;53,0;26,5;363,0;380,0;;
SCATT;15.01.2018;Präzision;30;Ruger;RedDot;25;Kniend, Rechts;10,1;9,0;66,0;33,0;94,0;47,0;131,0;118,0;;
SCATT;15.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;6,7;59,0;29,5;80,0;40,0;163,0;157,0;;
SCATT;15.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,8;7,0;59,0;29,5;84,0;42,0;147,0;147,0;;bewusstes Abziehen wird ein Problem
SCATT;18.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;9,2;7,2;44,0;22,0;79,0;39,5;158,0;143,0;;Kreis zum zielen nehmen, nicht den Punkt
SCATT;18.01.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,2;2,6;55,0;27,5;53,0;26,5;421,0;313,0;;
SCATT;20.01.2018;Präzision;30;Xesse;Offen;25;Stehend, Beide;9,9;7,7;52,0;26,0;79,0;39,5;282,0;293,0;;
SCATT;23.01.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;10,3;2,6;65,0;32,5;69,0;34,5;404,0;308,0;;Ein Schuss verborgen
SCATT;23.01.2018;Speed;30;Ruger;RedDot;25;Stehend, Rechts;9,6;2,6;64,0;32,0;68,0;34,0;425,0;340,0;;
SCATT;23.01.2018;Präzision;30;Ruger;RedDot;25;Stehend, Rechts;10,2;6,9;74,0;37,0;87,0;43,5;156,0;148,0;;
SCATT;24.01.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,6;6,9;47,0;23,5;81,0;40,5;154,0;153,0;;
SCATT;25.01.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,8;4,4;34,0;17,0;83,0;41,5;183,0;182,0;;
SCATT;25.01.2018;Speed;30;Ruger;Offen;25;Stehend, Rechts;9,3;2,8;55,0;27,5;69,0;34,5;371,0;325,0;;Das offene Visier von Ruger ist ungeeignet
SCATT;25.01.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,4;5,6;43,0;21,5;73,0;36,5;179,0;174,0;;Mit Gewichtsmanchette
SCATT;25.01.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,8;5,3;37,0;18,5;80,0;40,0;167,0;162,0;;Mit Gewichtsmanchette, schöne Koordination. Atmung, Abzug und Bewegung syncronisiert.
SCATT;25.01.2018;Präzision;30;Ruger;Offen;25;Stehend, Rechts;9,7;5,9;60,0;30,0;86,0;43,0;161,0;176,0;;Mit Gewichtsmanchette, schöne Koordination. Synchro war nicht so gut
SCATT;25.01.2018;Speed;30;Ruger;Offen;25;Stehend, Rechts;10,1;2,4;40,0;20,0;42,0;21,0;606,0;460,0;;Mit Gewichtsmanchette
SCATT;25.01.2018;Speed;30;Ruger;Offen;25;Stehend, Rechts;8,9;2,3;33,0;16,5;32,0;16,0;706,0;493,0;;Bei Speed ab sofort Finger am Abzug.
SCATT;25.01.2018;Speed;30;Ruger;Offen;25;Stehend, Rechts;9,2;2,5;52,0;26,0;63,0;31,5;513,0;433,0;;Bei Speed ab sofort Finger am Abzug.
SCATT;25.01.2018;Speed;30;Ruger;Offen;25;Stehend, Rechts;10,1;2,7;51,0;25,5;66,0;33,0;422,0;332,0;;Füsse ziemlich parallel zum Ziel
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,5;64,0;32,0;67,0;33,5;548,0;545,0;;Finger am Abzug
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,4;42,0;21,0;72,0;36,0;557,0;489,0;;Finger am Abzug
SCATT;27.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,4;6,8;25,0;12,5;71,0;35,5;313,0;334,0;;
SCATT;27.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,9;5,0;22,0;11,0;72,0;36,0;288,0;306,0;;
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,3;62,0;31,0;65,0;32,5;672,0;600,0;;
SCATT;27.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,4;6,7;30,0;15,0;76,0;38,0;286,0;287,0;;
SCATT;27.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,7;4,5;37,0;18,5;67,0;33,5;319,0;356,0;;Wandert der Punkt abhängig von Brille?
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,6;56,0;28,0;72,0;36,0;567,0;552,0;;Dot wandert bei unterschiedlichen Brillen?
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,6;63,0;31,5;76,0;38,0;522,0;468,0;;
SCATT;27.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,5;62,0;31,0;75,0;37,5;537,0;451,0;;
SCATT;27.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,7;6,3;38,0;19,0;79,0;39,5;261,0;260,0;;
SCATT;31.01.2018;Präzision;30;Xesse;RedDot;25;Stehend, Beide;9,2;4,5;24,0;12,0;73,0;36,5;300,0;319,0;;
SCATT;31.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;9,4;2,6;62,0;31,0;72,0;36,0;554,0;522,0;;
SCATT;31.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,5;2,7;71,0;35,5;79,0;39,5;489,0;487,0;;wow
SCATT;31.01.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,3;2,7;63,0;31,5;66,0;33,0;544,0;517,0;;ok, jetzt war ich zu breit.
SCATT;01.02.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,1;2,7;23,0;11,5;55,0;27,5;631,0;633,0;;
SCATT;01.02.2018;Speed;30;Xesse;RedDot;25;Stehend, Beide;10,2;2,7;38,0;19,0;70,0;35,0;560,0;553,0;;
